crime_id,date,time,city,area,crime_type,latitude,longitude,victim_age,victim_gender,weapon_used,severity,police_station,status
NGP0090,2024-03-11,07:50,Nagpur,Kamptee Road,Cyber Crime,21.181974,79.119472,24,Other,No Weapon,Medium,Kamptee Road Police Station,Closed
NGP0091,2025-12-11,09:00,Nagpur,Mankapur,Theft,21.176449,79.068868,45,Male,Knife,Low,Mankapur Police Station,Closed
NGP0092,2025-11-29,05:10,Nagpur,Pardi,Burglary,21.160876,79.14906,61,Male,Firearm,Low,Pardi Police Station,Under Investigation
NGP0093,2025-04-17,20:20,Nagpur,Jaripatka,Vandalism,21.166075,79.052437,36,Other,Unknown,Low,Jaripatka Police Station,Under Investigation
NGP0094,2025-03-28,11:40,Nagpur,Sitabuldi,Cyber Crime,21.147323,79.087855,37,Male,Firearm,Critical,Sitabuldi Police Station,Closed
NGP0095,2024-08-30,12:40,Nagpur,Mahal,Fraud,21.144942,79.102362,60,Female,Stick,Medium,Mahal Police Station,Reported
NGP0096,2025-12-03,23:00,Nagpur,Pardi,Harassment,21.162663,79.153223,67,Male,Unknown,Critical,Pardi Police Station,Solved
NGP0097,2025-10-13,06:40,Nagpur,Jaripatka,Cyber Crime,21.171026,79.053227,59,Male,Stick,Medium,Jaripatka Police Station,Closed
NGP0098,2025-08-16,11:50,Nagpur,Sadar,Burglary,21.168277,79.086614,44,Male,Knife,Low,Sadar Police Station,Under Investigation
NGP0099,2025-01-09,16:40,Nagpur,Trimurti Nagar,Cyber Crime,21.123056,79.042598,48,Female,Stick,Medium,Trimurti Nagar Police Station,Reported
NGP0100,2024-03-18,04:10,Nagpur,Koradi,Vehicle Theft,21.247437,79.098926,68,Female,No Weapon,Critical,Koradi Police Station,Solved
